tweet,label
"RT @Phil_Lewis_: University of Kentucky student Sophia Rosing arrested and charged after assaulting another student who was at work and calling her a “nigger bitch”

https://www.wkyt.com/2022/11/06/uk-student-arrested-following-assault-campus/?outputType=amp https://twitter.com/Phil_Lewis_/status/1589362655802052609/video/1",
Nigger Navy top 2 and not number 2. « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
“Call him a nigger one more time mf” lol white boy jus said nigga https://twitter.com/shannonsharpeee/status/1592653656125739008,
@sajo____ @kylieeee00 Yea keep hiding your ugly face behind glasses and a cup and definitely call someone nigger when you’re blacker than charcoal.,1
Comment ça don't touch me nigger!?______ Oú sont côté nigger là!? __ « amineriree: Un employé raciste se fait corriger dans un centre commercial https://twitter.com/amineriree/status/1592939327268741121/video/1 — https://twitter.com/amineriree/status/1592939327268741121 »,
Un employé raciste se fait corriger dans un centre commercial https://twitter.com/amineriree/status/1592939327268741121/video/1,
"RT @ariyadecadence: That which is high can only go down, and that which is low can only go up. Niggers take active pleasure, Aryans get passive pleasure. The inferior mounts the superior, which, in a sacred inversion, is passively satisfied. White is Feminine, Black is Masculine. https://twitter.com/ariyadecadence/status/1423694655875596290/photo/1",
"That which is high can only go down, and that which is low can only go up. Niggers take active pleasure, Aryans get passive pleasure. The inferior mounts the superior, which, in a sacred inversion, is passively satisfied. White is Feminine, Black is Masculine. https://twitter.com/ariyadecadence/status/1423694655875596290/photo/1",1
"RT @ariyadecadence: That which is high can only go down, and that which is low can only go up. Niggers take active pleasure, Aryans get passive pleasure. The inferior mounts the superior, which, in a sacred inversion, is passively satisfied. White is Feminine, Black is Masculine. https://twitter.com/ariyadecadence/status/1423694655875596290/photo/1",
"RT @ariyadecadence: Like niggers perform heavy labor and domestic work so they can perform extra... sexual services. It doesn't have to be contradictory, but complementary. It is our right as the Aryan Race to employ the lesser races in whatever ways we want. https://twitter.com/ariyadecadence/status/1423696630017150978/photo/1",
"Like niggers perform heavy labor and domestic work so they can perform extra... sexual services. It doesn't have to be contradictory, but complementary. It is our right as the Aryan Race to employ the lesser races in whatever ways we want. https://twitter.com/ariyadecadence/status/1423696630017150978/photo/1",1
"""Wypipo, man... Wypipo...""

""Just because, nigger."" https://twitter.com/cremaetpill/status/1592998446134624256/photo/1",
": ""Anti-Semitic"" is code for ""nigger"" in most cases! It is also used as a veil for 'White"" European Zionists to hide behind; so that people ""fear"" critiquing their Racism and devotion to nurturing 'Black' Oppression & Apartheid in Palestine! _______ https://twitter.com/ReddLegend/status/1592998330329870337/photo/1",0
@tcarlsonian Look at that low population a D There's no niggers there for the Caucasian people to kill,1
that boy say “my diamonds so white they call me nigger” ________,
RT @gwk00: @surpyosu @leoantosette nigger careful outside tomorrow,
@surpyosu @leoantosette nigger careful outside tomorrow,1
Estoy esperando el día en que se enfrenten Nigeria vs Alemania pa que el # sea #NIGGER « iMiaSanMia: #OMNGER ________ https://twitter.com/iMiaSanMia/status/1592930750655238144/photo/1 — https://twitter.com/imiasanmia/status/1592930750655238144 »,
#OMNGER ________ https://twitter.com/iMiaSanMia/status/1592930750655238144/photo/1,
nigger with a rolled r is so crazy omg « tize4PF: https://twitter.com/tize4PF/status/1592991022153625601/video/1 — https://twitter.com/tize4pf/status/1592991022153625601 »,0
https://twitter.com/tize4PF/status/1592991022153625601/video/1,
"RT @tylerthecreator: GOOD MORNING NIGGERS, CRACKERS, WETBACKS, CHINKS, JEWS AND YOU OTHER NIGGAS HI!",
"GOOD MORNING NIGGERS, CRACKERS, WETBACKS, CHINKS, JEWS AND YOU OTHER NIGGAS HI!",1
"I started saying “nigger” working as the token white in @Walmart auto dept in the late Bush & early Obama years

my co-workers seemed to like me, and only once did anyone ever take offense",1
"RT @tylerthecreator: GOOD MORNING NIGGERS, CRACKERS, WETBACKS, CHINKS, JEWS AND YOU OTHER NIGGAS HI!",
"What a good girl! Only whites are acceptable, no nigger dick allowed for her and any white girls! Not that our beautiful white women want nasty nigger dick anyway, as evident by all the white girls here and my pinned. « QoHBellaThorne: Kinks:
White Guys and Girls
Anal
Big Tits
Breeding
Cumplay
Dom
Facials
Hyper Cum
Hyper Cock
Phat Booties
Sub for BWC only __ — https://twitter.com/qohbellathorne/status/1480413337108234243 »",
"Kinks:
White Guys and Girls
Anal
Big Tits
Breeding
Cumplay
Dom
Facials
Hyper Cum
Hyper Cock
Phat Booties
Sub for BWC only __",
My sincerest apologies to http://Mr.Ice T For calling you a nigger i did not realize it was you the first couple of times so I'm deeply sorry for that not until Schuck's on Charles ST.,
"Gotta love how disgusting nigger dick Is her biggest limit as who even likes it! #Bleached #Breedwhite #Whiteisright « QoHBellaThorne: Limits:
BBC(yuck __)
Puke
Rape
Scat
Vore — https://twitter.com/qohbellathorne/status/1480413683016679429 »",
"Limits:
BBC(yuck __)
Puke
Rape
Scat
Vore",
@abelamoah1 @kylieeee00 Be quiet nigger,1
"I see you being like I won't let you do this, is it not always easy for you to fight people who can't defend themselves, the one one who weak?, go fight big oil company or company who got the monopole, bastards, why me?
Because you can't fuck any beside another nigger.",1
Constantly being harassed and being called nigger bitches when you’re in your house chilling<< and my apartments keep asking me “did you talk to the parents” I’m irritated af.,1
If I hear one more thing about what trump did for you niggers! Two stimulus checks for a whole year??? & He was trying end the extra $600 for unemployment early!,1
Face brick? You know this nigger at his mama house doing this __________ « WonderMahlobo: This video made me laugh way too hard. Zulu Drake __ https://twitter.com/WonderMahlobo/status/1592781279388278787/video/1 — https://twitter.com/wondermahlobo/status/1592781279388278787 »,
This video made me laugh way too hard. Zulu Drake __ https://twitter.com/WonderMahlobo/status/1592781279388278787/video/1,
"@MartienPennings Raisa, met het woord neger is niets mis. Het scheldwoord is nikker. Dat zou niemand moeten gebruiken.
Hetzelfde in het Engels. Negro is niet verkeerd. Het scheldwoord nigger wel. Maar dat mag weer wèl gebruikt worden door negroes.",
Fuck Nigger __ « joncoopertweets: Describe 45 in a word. — https://twitter.com/joncoopertweets/status/1592715770722754560 »,
Describe 45 in a word.,
"@momofsaul Wat, nigger?",1
"i could care less about who says the word ‘nigga’, just don’t be callin me a nigger, that shit is alot more degrading than just being like “what’s up my nigga” or sum",0
rolling the “R” in nigger is crazy « tize4PF: https://twitter.com/tize4PF/status/1592991022153625601/video/1 — https://twitter.com/tize4pf/status/1592991022153625601 »,
RT @lukeyism: TL sleep? Cambridge Analytica/SCL Elections approached Mia Mottley & Lucille Moe in 2010 to manipulate the upcoming election. Mia & Moe ignored them and Cambridge Analytica called them “niggers” in internal emails https://twitter.com/JamesRehwald/status/1592204998255185920,
TL sleep? Cambridge Analytica/SCL Elections approached Mia Mottley & Lucille Moe in 2010 to manipulate the upcoming election. Mia & Moe ignored them and Cambridge Analytica called them “niggers” in internal emails https://twitter.com/JamesRehwald/status/1592204998255185920,
“Call him a nigger one more time mother fucker!” Lmfaooooooo ________ https://twitter.com/shannonsharpeee/status/1592653656125739008,1
RT @gwk00: @surpyosu @leoantosette nigger careful outside tomorrow,
@JoshuaRatclif20 @monodagio @KYNGTHAPROPHET @bartley_danny @fightstrending so I white kid can call and say nigga and nigger no that’s not okay at all when are ppl where enslaved they would call our people that ts not okay,
@CharlieisLETHAL That’s worse than being called a nigger?! https://twitter.com/ThatTEPLOVE/status/1592988722123124736/photo/1,
@jalenjermainee ______smh niggers,1
RT @NegriSila: @ShitpostGate I dont fucking care but i hate niggers,
@ShitpostGate I dont fucking care but i hate niggers,1
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@KovPIayz @xReriick @jopap_ @Pedruh777 there is you nigger mum slave,1
@G2NiKo NIGGERS,1
Idk I feel like you tryna call me a nigger « c0simus: I’m glad you hate working at your job and support a poverty franchise like the Dallas Cowboys https://twitter.com/soldiersbIade/status/1592951630416465920 — https://twitter.com/c0simus/status/1592984657590890496 »,
I’m glad you hate working at your job and support a poverty franchise like the Dallas Cowboys https://twitter.com/soldiersbIade/status/1592951630416465920,
Nigger you crazy « KSI: Honestly can’t believe Ronaldo has said this https://twitter.com/KSI/status/1592987406198009858/video/1 — https://twitter.com/ksi/status/1592987406198009858 »,1
Honestly can’t believe Ronaldo has said this https://twitter.com/KSI/status/1592987406198009858/video/1,
Time: I call this next generation The Sand Nigger.,
Nigger,1
"RT @pig_204_112: @STXLKERSPRING 

Please let me worship your nigger cock please. 

I desperately need it~

I also bound myself up for it my nigger god~ https://twitter.com/pig_204_112/status/1592809283405897728/photo/1",
"@STXLKERSPRING 

Please let me worship your nigger cock please. 

I desperately need it~

I also bound myself up for it my nigger god~ https://twitter.com/pig_204_112/status/1592809283405897728/photo/1",
@KovPIayz @xReriick @jopap_ @Pedruh777 If you go to collect cotton you earn more nigger,1
I never ever wanna be this much of a nigger « kingbealestreet: When I become president I'm banning y'all from entering a kitchen __ https://twitter.com/kingbealestreet/status/1592367360249196545/video/1 — https://twitter.com/kingbealestreet/status/1592367360249196545 »,
When I become president I'm banning y'all from entering a kitchen __ https://twitter.com/kingbealestreet/status/1592367360249196545/video/1,
"@ayo83967068 @Mrbankstips But for real,if I have gun in my position,I don't think my nigger is gonna die,I will actually love him to see how he die slowly...he haven't seen cold men honestly",
"@KovPIayz you are a stinky nigger, i don’t talk with a shit coloured people",1
"@zeerTwt J'avais utilisé le terme ""nigger""",
RT @packmyopp: and my diamonds so white they call me nigger,
"David Bowie was a Hitler/fascists sympathizer, Mick Jagger sung about rape and black slave girls, John Lennon wrote a song called “women are the niggers of the world”, Eric Clapton said blacks, Arabs and Jamaicans don’t belong in America, Elvis is a groomer/bit off black artists",
@nigger_nogger_ Word,
Niggers be so embarassing omg « TidianeMania: Élu pire tiktok de l’année https://twitter.com/TidianeMania/status/1592947632996958208/video/1 — https://twitter.com/tidianemania/status/1592947632996958208 »,1
Élu pire tiktok de l’année https://twitter.com/TidianeMania/status/1592947632996958208/video/1,
@Noelbeams @jisre22 Ok nigger,1
RT @packmyopp: and my diamonds so white they call me nigger,
@SpiritualGenin @Minipainter5 Fearful of the wrong thing. Saying nigger is not even close to taking the Lord's name in vain. Id throw the slur around all day instead of the other.,
"_____ π__________ π__ _π_____ ___ ____ ________ ___ _____ _ __π__ _______ (_____ ___ house nigger)...; ___ _____________ ____ ___...; ____ _____ ______ __  _____________ π__ __________...; ____ _____, π__ π_________, __π__ __________ ____ ___...; https://twitter.com/oneiroplektis/status/1592983983696261120/video/1",
"Still haven't finished capitalist nigger but read enough to recommend it __ « okaputu11: A lot of people who  recommend The Alchemist, Capitalist Nigger, The Psychology of Money, have actually not read those books. Funny how people  do this__ — https://twitter.com/okaputu11/status/1592581086999199744 »",
"A lot of people who  recommend The Alchemist, Capitalist Nigger, The Psychology of Money, have actually not read those books. Funny how people  do this__",
"@simon_ekpa You have nothing to offer brother man. Only gossip and trouble making. But I promise if you are in, you see good but if you are out trying to scatter every thing you go see very bad nigger",1
"@Strongdoctah @John__Boer @CastorT26371809 @JimBeamer1979 @VeronicaJustise I knew you aren't Christian. You're Muslim or Indian?
And you were not being honest by saying, ""My Brother in Christ."" But I didn't know you were calling me a Nigger.
You like dick picks in a public forum.
And you want public porn normalized.
Pedophiles use porn to groom children https://twitter.com/TimtheWizard/status/1592981534902214656/photo/1",
@FamousGuh Niggers be having stupidous names wtf is a shanquella,1
"""I know them niggers would come around and understand their place in society""____ https://twitter.com/ChemistWasTaken/status/1592981436168286209/photo/1",1
nigger,1
and my diamonds so white they call me nigger __,0
"@JackSamurai91 @ArlohatesD2 It's like people don't understand edgy sarcasm when it comes out. I'm sure this guy shares this with a few friends on discord for a laugh.  We've all experienced this, kids saying nigger. They think super funny. What is the evidense for the pedo stuff? I completely missed it.",0
"@JaapFriso @TijsvandenBrink Je bedoelt, neger?
Of nigger, dit is nl een beledigend
woord in de VS, niet hier.
Wij gebruiken het woord neger,
evenals negerzoen, enz. niet
meer, en dat is goed, maar het
is nog steeds niet verboden.
En Uw plv schaamte 
is misplaatst.",
@Sleazebuster The black dog comment makes me think this is a piss take? He's not called nigger by any chance?,1
I’m the main nigger. I’m the top slave.,
"RT @BiancaferrazTS: I went to the bakery I couldn't resist I ended up giving it to the nigger __.
Assinem meu 

https://onlyfans.com/biancaferrazts
@SexyTgirls69 @TsCamStars @TsDream_ @tshunter007 @TransX @@TGirlsAddict @TGirlsBR @Travel4TG @AlfonsoMtzMora @jockosrocket @ShemalesOnCams @Shemalesbr @DreamTGirlz https://twitter.com/BiancaferrazTS/status/1392091824198651905/video/1",
"I went to the bakery I couldn't resist I ended up giving it to the nigger __.
Assinem meu 

https://onlyfans.com/biancaferrazts
@SexyTgirls69 @TsCamStars @TsDream_ @tshunter007 @TransX @@TGirlsAddict @TGirlsBR @Travel4TG @AlfonsoMtzMora @jockosrocket @ShemalesOnCams @Shemalesbr @DreamTGirlz https://twitter.com/BiancaferrazTS/status/1392091824198651905/video/1",
"@ShooterLibby Never forget walking home from work. And as I come out the cab the pricks and dicks thought it was funny to mouth out nigger and do gun motions at me.

Or another time a cop got hella aggressive with me because I spit out my gum on the side of my building",
"@danitexdea @z4v0s @IGN It was directly spoken, he said “what a fucking nigger” in pure rage",
@FredDiBiaggio @amineriree toi t'es vrm trop con mdr c'est le renoi qui dit dont touch me nigger mdrrrr a chaque fois tu veux mfaire a chaque  fois tu passes pr un teubé,
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
Yelling “kall him a nigger one more time” while punching on someone is mad wild https://twitter.com/shannonsharpeee/status/1592653656125739008,
"Do you remember when you joined Twitter? I do! #MyTwitterAnniversary 

I hate niggers https://twitter.com/mvnke_mvn/status/1592978362456485888/photo/1",1
Dont it defeat the purpose of you also saying nigger too while punching a white man for saying nigger? https://twitter.com/shannonsharpeee/status/1592653656125739008,
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
"AFTER NIGHTLY BONNET FIGHTS AND NOTICING THE NUMBER OF BLACK WOMEN GOING BALD IN NC, I STARTED MY SEARCH UNDER ""NIGGER SKULLS."" https://twitter.com/MargaretJColli8/status/1592977970310053889/photo/1",1
@ShardShadowhear @TFG_Pixel @debiletuba @ShitpostGate Nigger,1
"RT @Phil_Lewis_: University of Kentucky student Sophia Rosing arrested and charged after assaulting another student who was at work and calling her a “nigger bitch”

https://www.wkyt.com/2022/11/06/uk-student-arrested-following-assault-campus/?outputType=amp https://twitter.com/Phil_Lewis_/status/1589362655802052609/video/1",0
@ShitpostGate Nigger moment,1
About to make this white girl my girlfriend and stay away for y’all NIGGERS!!!,1
RT @CUdoaku: E Sha no go better for all those girls wey make good niggers heartless __,1
E Sha no go better for all those girls wey make good niggers heartless __,1
I HATE NIGGERS BRO !! https://twitter.com/SheerOpulence2/status/1592927888718073856,1
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,0
@realjoshshowes Most young blokes think that way (except for the literal fags). I remember in year 9 we had abos come to our school from middle of woop woop and everyone was just making racist jokes and calling them niggers (not to their face or in front of teachers but).,
The NAACP Needs a Committee on Technology.  The accompanying words to this picture include Nigger.  Found under images. https://twitter.com/MargaretJColli8/status/1592975305278656512/photo/1,0
"Christ/Yahweh blessed the LOWEST of ppl. Whores, thieves, drunks etc. and all they had to do was believe in him/God but here you niggers go getting on social media with your iPhones talking down on others cuz you ain’t missed a Sunday service all year and think you sumn special",1
@HIGHENDTAY_ Nigger,
dick riding white folk should be automatically death penalty im not arguing wit noo coon nigger « JuiccyyGina: @NayeKaizen they kill me when something happens in our community and they say “this is why white people don’t like us” like huh????? they’re never gonna like us we shouldn’t give two fucks — https://twitter.com/juiccyygina/status/1592972700821368832 »,1
@NayeKaizen they kill me when something happens in our community and they say “this is why white people don’t like us” like huh????? they’re never gonna like us we shouldn’t give two fucks,0
@ManMilk2 Nigger really bad in revenge __,1
